owner_id,name,address1,address2,address3,city,county,state,postal_code,license_type,license_number,subordinate
"300 INC.","300 DALLAS","3805 BELT LINE ROAD",,,"ADDISON","Dallas","TX","75001","MB","447769","LB,PE"
"300 INC.","300 HOUSTON","925 BUNKER HILL ROAD",,,"HOUSTON","Harris","TX","77024","MB","78209","LB,PE"
"300 INC.","AMF ALPHA LANES","318 W BAY AREA BOULEVARD",,,"WEBSTER","Harris","TX","77598","MB","687132","LB,PE"
"300 INC.","AMF COUNTRY LANES","13307 SAN PEDRO",,,"SAN ANTONIO","Bexar","TX","78216","MB","689322","LB,PE"
"300 INC.","AMF DESOTO LANES","121 NORTHGATE DRIVE",,,"DESOTO","Dallas","TX","75115","RM","700503","FB,LB,PE"
"300 INC.","AMF DIAMOND LANES","267 N FOREST BOULEVARD",,,"HOUSTON","Harris","TX","77090","MB","687147","LB,PE"
"300 INC.","AMF EULESS LANES","1901 W AIRPORT FREEWAY",,,"EULESS","Tarrant","TX","760404048","MB","436527","LB,PE"
"300 INC.","AMF GARLAND LANES","1950 MARKETPLACE DRIVE",,,"GARLAND","Dallas","TX","75041","RM","609785","FB,LB,PE"
"300 INC.","AMF HUMBLE BOWL","19214 EASTEX FREEWAY",,,"HUMBLE","Harris","TX","77338","MB","103425","LB,PE"
"300 INC.","AMF LEWISVILLE LANES","1398 W MAIN STREET",,,"LEWISVILLE","Denton ","TX","75067","RM","633556","FB,LB,PE"
"300 INC.","AMF PONDEROSA LANES","2118 GOLIAD ROAD",,,"SAN ANTONIO","Bexar","TX","78223","MB","689565","LB,PE"
"300 INC.","AMF RICHARDSON LANES","2101 N CENTRAL EXPRESSWAY",,,"RICHARDSON","Dallas","TX","75080","RM","627693","FB,LB,PE"
"300 INC.","AMF SARATOGA LANES","6116 AYERS STREET",,,"CORPUS CHRISTI","Nueces","TX","78415","MB","688891","LB,PE"
"300 INC.","AMF SPARE TIME LANES","3149 S COOPER STREET",,,"ARLINGTON","Tarrant","TX","76015","MB","687233","LB,PE"
"300 INC.","AMF STAFFORD BOWL","4919 MAIN",,,"STAFFORD","Fort Bend","TX","77477","MB","485612","LB,PE"
"300 INC.","AMF STAR LANES","2404 PALMER HWY",,,"TEXAS CITY","Galveston","TX","77590","MB","687555","LB,PE"
"300 INC.","AMF WESTVIEW LANES","4565 W WACO DRIVE",,,"WACO","McLennan","TX","76711","MB","161450","LB,PE"
"300 INC.","AMF WILLOW BOWL","19102 TOMBALL PARKWAY",,,"HOUSTON","Harris","TX","770703508","MB","163213","LB,PE"
